"OrderNumber";"OrderDate";"OrderStatus";"CustomerFirstName";"CustomerLastName";"CustomerEmail";"CategoryName";"ProductName";"SKU";"Quantity";"UnitPrice";"Discount";"LineTotal";"ShippingTotal";"GrandTotal"
"ORD-11074";"2008-05-06 07:00:00";"pending";"Nuria";"Gonzalez";"nuria.gonzalez@example.com";"Confections";"Product PAFRH";"SKU-0016";"14";"17.45";"0.050";"232.09";"18.44";"250.53"
"ORD-11076";"2008-05-06 07:00:00";"processing";"Amritansh";"Raghav";"amritansh.raghav@example.com";"Confections";"Product XKXDO";"SKU-0019";"10";"9.20";"0.250";"69.00";"38.28";"831.03"
"ORD-11075";"2008-05-06 07:00:00";"processing";"Jacek";"Myrcha";"jacek.myrcha@example.com";"Seafood";"Product CBRRL";"SKU-0046";"30";"12.00";"0.150";"306.00";"6.19";"504.29"
"ORD-11076";"2008-05-06 07:00:00";"processing";"Amritansh";"Raghav";"amritansh.raghav@example.com";"Condiments";"Product VAIIV";"SKU-0006";"20";"25.00";"0.250";"375.00";"38.28";"831.03"
"ORD-11075";"2008-05-06 07:00:00";"processing";"Jacek";"Myrcha";"jacek.myrcha@example.com";"Beverages";"Product RECZE";"SKU-0002";"10";"19.00";"0.150";"161.50";"6.19";"504.29"
"ORD-11076";"2008-05-06 07:00:00";"processing";"Amritansh";"Raghav";"amritansh.raghav@example.com";"Produce";"Product PWCJB";"SKU-0014";"20";"23.25";"0.250";"348.75";"38.28";"831.03"
"ORD-11075";"2008-05-06 07:00:00";"processing";"Jacek";"Myrcha";"jacek.myrcha@example.com";"Beverages";"Product JYGFE";"SKU-0076";"2";"18.00";"0.150";"30.60";"6.19";"504.29"
"ORD-11070";"2008-05-05 07:00:00";"processing";"George";"Louverdis";"george.louverdis@example.com";"Beverages";"Product RECZE";"SKU-0002";"20";"19.00";"0.150";"323.00";"136.00";"1765.98"
"ORD-11071";"2008-05-05 07:00:00";"processing";"Marlies";"Dressler";"marlies.dressler@example.com";"Seafood";"Product POXFU";"SKU-0013";"10";"6.00";"0.050";"57.00";"0.93";"485.43"
"ORD-11070";"2008-05-05 07:00:00";"processing";"George";"Louverdis";"george.louverdis@example.com";"Dairy Product";"Product XWOXC";"SKU-0031";"20";"12.50";"0.000";"250.00";"136.00";"1765.98"
"ORD-11072";"2008-05-05 07:00:00";"processing";"John";"Kane";"john.kane@example.com";"Beverages";"Product RECZE";"SKU-0002";"8";"19.00";"0.000";"152.00";"258.64";"5476.64"
"ORD-11072";"2008-05-05 07:00:00";"processing";"John";"Kane";"john.kane@example.com";"Seafood";"Product TTEEX";"SKU-0041";"40";"9.65";"0.000";"386.00";"258.64";"5476.64"
"ORD-11073";"2008-05-05 07:00:00";"processing";"Fadi";"Fakhouri";"fadi.fakhouri@example.com";"Dairy Product";"Product QMVUN";"SKU-0011";"10";"21.00";"0.000";"210.00";"24.95";"324.95"
"ORD-11072";"2008-05-05 07:00:00";"processing";"John";"Kane";"john.kane@example.com";"Confections";"Product BIUDV";"SKU-0050";"22";"16.25";"0.000";"357.50";"258.64";"5476.64"
"ORD-11073";"2008-05-05 07:00:00";"processing";"Fadi";"Fakhouri";"fadi.fakhouri@example.com";"Beverages";"Product QOGNU";"SKU-0024";"20";"4.50";"0.000";"90.00";"24.95";"324.95"
"ORD-11071";"2008-05-05 07:00:00";"processing";"Marlies";"Dressler";"marlies.dressler@example.com";"Produce";"Product HMLNI";"SKU-0007";"15";"30.00";"0.050";"427.50";"0.93";"485.43"
"ORD-11072";"2008-05-05 07:00:00";"processing";"John";"Kane";"john.kane@example.com";"Grains/Cereals";"Product HCQDE";"SKU-0064";"130";"33.25";"0.000";"4322.50";"258.64";"5476.64"
"ORD-11070";"2008-05-05 07:00:00";"processing";"George";"Louverdis";"george.louverdis@example.com";"Beverages";"Product HHYDP";"SKU-0001";"40";"18.00";"0.150";"612.00";"136.00";"1765.98"
"ORD-11070";"2008-05-05 07:00:00";"processing";"George";"Louverdis";"george.louverdis@example.com";"Confections";"Product PAFRH";"SKU-0016";"30";"17.45";"0.150";"444.98";"136.00";"1765.98"
"ORD-11067";"2008-05-04 07:00:00";"delivered";"TiAnna";"Jones";"tianna.jones@example.com";"Seafood";"Product TTEEX";"SKU-0041";"9";"9.65";"0.000";"86.85";"7.98";"94.83"
"ORD-11068";"2008-05-04 07:00:00";"processing";"Anna";"Misiec";"anna.misiec@example.com";"Produce";"Product OFBNT";"SKU-0028";"8";"45.60";"0.150";"310.08";"81.75";"2108.83"
"ORD-11069";"2008-05-04 07:00:00";"delivered";"Jens";"Geschwandtner";"jens.geschwandtner@example.com";"Beverages";"Product LSOFL";"SKU-0039";"20";"18.00";"0.000";"360.00";"15.67";"375.67"
"ORD-11068";"2008-05-04 07:00:00";"processing";"Anna";"Misiec";"anna.misiec@example.com";"Condiments";"Product LUNZZ";"SKU-0077";"28";"13.00";"0.150";"309.40";"81.75";"2108.83"
"ORD-11068";"2008-05-04 07:00:00";"processing";"Anna";"Misiec";"anna.misiec@example.com";"Beverages";"Product ZZZHR";"SKU-0043";"36";"46.00";"0.150";"1407.60";"81.75";"2108.83"
"ORD-11064";"2008-05-01 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Seafood";"Product TTEEX";"SKU-0041";"12";"9.65";"0.000";"115.80";"30.09";"4360.49"
"ORD-11064";"2008-05-01 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Confections";"Product TBTBL";"SKU-0068";"55";"12.50";"0.000";"687.50";"30.09";"4360.49"
"ORD-11066";"2008-05-01 07:00:00";"delivered";"Ronaldo";"Smith Jr.";"ronaldo.smithjr@example.com";"Beverages";"Product SWNJY";"SKU-0034";"35";"14.00";"0.000";"490.00";"44.72";"973.47"
"ORD-11065";"2008-05-01 07:00:00";"processing";"Marlies";"Dressler";"marlies.dressler@example.com";"Meat/Poultry";"Product QAQRL";"SKU-0054";"20";"7.45";"0.250";"111.75";"12.91";"202.33"
"ORD-11064";"2008-05-01 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Meat/Poultry";"Product YYWRT";"SKU-0055";"4";"24.00";"0.100";"86.40";"30.09";"4360.49"
"ORD-11065";"2008-05-01 07:00:00";"processing";"Marlies";"Dressler";"marlies.dressler@example.com";"Seafood";"Product LYERX";"SKU-0030";"4";"25.89";"0.250";"77.67";"12.91";"202.33"
"ORD-11066";"2008-05-01 07:00:00";"delivered";"Ronaldo";"Smith Jr.";"ronaldo.smithjr@example.com";"Confections";"Product PAFRH";"SKU-0016";"3";"17.45";"0.000";"52.35";"44.72";"973.47"
"ORD-11064";"2008-05-01 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Meat/Poultry";"Product BKGEA";"SKU-0053";"25";"32.80";"0.100";"738.00";"30.09";"4360.49"
"ORD-11064";"2008-05-01 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Meat/Poultry";"Product BLCAX";"SKU-0017";"77";"39.00";"0.100";"2702.70";"30.09";"4360.49"
"ORD-11066";"2008-05-01 07:00:00";"delivered";"Ronaldo";"Smith Jr.";"ronaldo.smithjr@example.com";"Confections";"Product XKXDO";"SKU-0019";"42";"9.20";"0.000";"386.40";"44.72";"973.47"
"ORD-11063";"2008-04-30 07:00:00";"delivered";"Ovidiu V.";"Craciun";"ovidiuv.craciun@example.com";"Seafood";"Product TTEEX";"SKU-0041";"30";"9.65";"0.100";"260.55";"81.73";"1424.68"
"ORD-11062";"2008-04-30 07:00:00";"processing";"Florian";"Voss";"florian.voss@example.com";"Beverages";"Product TOONT";"SKU-0070";"12";"15.00";"0.200";"144.00";"29.93";"436.33"
"ORD-11063";"2008-04-30 07:00:00";"delivered";"Ovidiu V.";"Craciun";"ovidiuv.craciun@example.com";"Beverages";"Product SWNJY";"SKU-0034";"30";"14.00";"0.000";"420.00";"81.73";"1424.68"
"ORD-11060";"2008-04-30 07:00:00";"delivered";"Martin";"Schmöllerl";"martin.schmollerl@example.com";"Dairy Product";"Product WHBYK";"SKU-0060";"4";"34.00";"0.000";"136.00";"10.98";"276.98"
"ORD-11061";"2008-04-30 07:00:00";"processing";"Venky";"Krishnan";"venky.krishnan@example.com";"Dairy Product";"Product WHBYK";"SKU-0060";"15";"34.00";"0.000";"510.00";"14.01";"524.01"
"ORD-11060";"2008-04-30 07:00:00";"delivered";"Martin";"Schmöllerl";"martin.schmollerl@example.com";"Condiments";"Product LUNZZ";"SKU-0077";"10";"13.00";"0.000";"130.00";"10.98";"276.98"
"ORD-11062";"2008-04-30 07:00:00";"processing";"Florian";"Voss";"florian.voss@example.com";"Meat/Poultry";"Product BKGEA";"SKU-0053";"10";"32.80";"0.200";"262.40";"29.93";"436.33"
"ORD-11063";"2008-04-30 07:00:00";"delivered";"Ovidiu V.";"Craciun";"ovidiuv.craciun@example.com";"Seafood";"Product YZIXQ";"SKU-0040";"40";"18.40";"0.100";"662.40";"81.73";"1424.68"
"ORD-11058";"2008-04-29 07:00:00";"processing";"Carole";"Poland";"carole.poland@example.com";"Confections";"Product VJZZH";"SKU-0021";"3";"10.00";"0.000";"30.00";"31.14";"889.14"
"ORD-11059";"2008-04-29 07:00:00";"processing";"Euan";"Garden";"euan.garden@example.com";"Seafood";"Product POXFU";"SKU-0013";"30";"6.00";"0.000";"180.00";"85.80";"1923.80"
"ORD-11058";"2008-04-29 07:00:00";"processing";"Carole";"Poland";"carole.poland@example.com";"Dairy Product";"Product WHBYK";"SKU-0060";"21";"34.00";"0.000";"714.00";"31.14";"889.14"
"ORD-11057";"2008-04-29 07:00:00";"delivered";"Ken";"Mallit";"ken.mallit@example.com";"Beverages";"Product TOONT";"SKU-0070";"3";"15.00";"0.000";"45.00";"4.13";"49.13"
"ORD-11059";"2008-04-29 07:00:00";"processing";"Euan";"Garden";"euan.garden@example.com";"Dairy Product";"Product WHBYK";"SKU-0060";"35";"34.00";"0.000";"1190.00";"85.80";"1923.80"
"ORD-11058";"2008-04-29 07:00:00";"processing";"Carole";"Poland";"carole.poland@example.com";"Condiments";"Product XYZPE";"SKU-0061";"4";"28.50";"0.000";"114.00";"31.14";"889.14"
"ORD-11059";"2008-04-29 07:00:00";"processing";"Euan";"Garden";"euan.garden@example.com";"Meat/Poultry";"Product BLCAX";"SKU-0017";"12";"39.00";"0.000";"468.00";"85.80";"1923.80"
"ORD-11056";"2008-04-28 07:00:00";"delivered";"Randall";"Boseman";"randall.boseman@example.com";"Dairy Product";"Product WHBYK";"SKU-0060";"50";"34.00";"0.000";"1700.00";"278.96";"4018.96"
"ORD-11054";"2008-04-28 07:00:00";"processing";"Mike";"Ray";"mike.ray@example.com";"Dairy Product";"Product ASTMN";"SKU-0033";"10";"2.50";"0.000";"25.00";"0.33";"305.33"
